text,label
"WINNER!! You have been selected to receive a $1000 cash prize. Call 09061701461 now to claim.",spam
"Congratulations! You won a free iPhone 15. Click http://bit.ly/claim-now to collect your reward.",spam
"URGENT: your account has been suspended. Verify your password at http://secure-login-verify.com",spam
"Free entry into our weekly prize draw! Text WIN to 80086 to enter. Terms apply.",spam
"You have 1 unclaimed lottery payment of USD 2,500,000. Send your bank details to claim.",spam
"Cheap meds online, no prescription needed. Viagra, Cialis, 80% discount today only!",spam
"Dear customer, your parcel could not be delivered. Pay the 1.99 customs fee here: http://track-parcel.co",spam
"Make $5000 per week working from home. No experience required. Reply START to begin.",spam
"Your PayPal account was accessed from a new device. Confirm your identity immediately: paypal-verify.net",spam
"Hot singles in your area are waiting to chat. Join free tonight!",spam
"Final notice: your car warranty is about to expire. Call now to renew at a discounted rate.",spam
"Claim your free Walmart gift card worth $500. Limited offer, act fast!",spam
"Bitcoin investment opportunity: double your money in 24 hours. Guaranteed returns.",spam
"You have been pre-approved for a $10,000 loan with 0% interest. Apply now, no credit check.",spam
"IRS notice: you owe back taxes. Settle today to avoid arrest. Call 1-800-555-0134.",spam
"Your Netflix subscription payment failed. Update your card details at netflix-billing-update.com",spam
"Congratulations, you are our 1,000,000th visitor! Claim your prize before it expires.",spam
"Buy followers and likes cheap. 10,000 followers for only $9.99. Instant delivery.",spam
"Unlock the secret to losing 20lbs in 2 weeks with this one weird trick. Doctors hate it!",spam
"SECURITY ALERT: unusual sign-in detected. Reset your credentials now or your account will be deleted.",spam
"Get rich quick with our proven forex robot. 300% monthly profit, risk free.",spam
"Your Amazon order #A72913 could not be processed. Confirm payment info to avoid cancellation.",spam
"Attention: transfer of inheritance funds. I am a barrister with an urgent business proposal for you.",spam
"Refinance your mortgage today and save thousands. Rates will never be this low again.",spam
"Free ringtones! Reply YES to get unlimited downloads for only 3 pounds per week.",spam
"Hi Sarah, could you send over the Q3 budget spreadsheet before the meeting tomorrow?",ham
"Thanks for the review comments, I pushed the fixes to the feature branch this morning.",ham
"Reminder: the dentist appointment is on Thursday at 4pm. Let me know if you need to reschedule.",ham
"The deployment finished successfully. Staging looks healthy, no errors in the logs.",ham
"Are we still on for lunch at noon? I was thinking of the Thai place near the office.",ham
"Please find attached the signed contract. Let me know if anything else is needed from our side.",ham
"Mum called, she wants to know if you are coming home for the weekend.",ham
"I have moved our one-on-one to Friday because of the client workshop on Wednesday.",ham
"Great talk today. I will share the slides with the rest of the team after standup.",ham
"The train is delayed by about twenty minutes, so I will be a bit late to dinner.",ham
"Can you review my pull request when you get a chance? It is a small refactor of the parser.",ham
"Invoice 2451 has been paid. Thanks for your patience while accounting processed it.",ham
"Happy birthday! Hope you have a wonderful day and we can celebrate this weekend.",ham
"Attached is the meeting agenda for Monday. Please add any topics you would like to discuss.",ham
"The unit tests are failing on main after the last merge, I am looking into it now.",ham
"I booked the conference room for 2pm. See you there with the design mockups.",ham
"Just landed, will head straight to the hotel and message you when I check in.",ham
"Our internet is down at home, so I will join the call from my phone instead.",ham
"Could you approve my leave request in the HR portal? It is for the first week of June.",ham
"The library books are due back on Tuesday, I left them on the kitchen table.",ham
"Following up on my previous email about the API documentation, no rush on your side.",ham
"We had a great turnout at the workshop, around forty people attended in person.",ham
"Sorry I missed your call, I was in a meeting. I will call you back this afternoon.",ham
"Here are the photos from the hiking trip, feel free to share them with the group.",ham
"Please remember to submit your timesheet before the end of the month.",ham
